CustomerID,CustomerName,Region,City
C082,Customer 82,Region 6,City 23
C096,Customer 96,Region 4,City 7
C109,Customer 109,Region 8,City 20
C275,Customer 275,Region 9,City 6
C238,Customer 238,Region 5,City 29
C006,Customer 6,Region 9,City 7
C252,Customer 252,Region 6,City 13
C242,Customer 242,Region 7,City 3
C100,Customer 100,Region 1,City 11
C077,Customer 77,Region 8,City 18
C251,Customer 251,Region 1,City 12
C171,Customer 171,Region 3,City 22
C014,Customer 14,Region 7,City 15
C174,Customer 174,Region 10,City 25
C291,Customer 291,Region 4,City 22
C218,Customer 218,Region 4,City 9
C026,Customer 26,Region 7,City 27
C027,Customer 27,Region 5,City 28
C097,Customer 97,Region 6,City 8
C116,Customer 116,Region 1,City 27
C267,Customer 267,Region 5,City 28
C211,Customer 211,Region 9,City 2
C038,Customer 38,Region 4,City 9
C272,Customer 272,Region 5,City 3
C005,Customer 5,Region 8,City 6
C243,Customer 243,Region 10,City 4
C012,Customer 12,Region 1,City 13
C015,Customer 15,Region 6,City 16
C115,Customer 115,Region 5,City 26
C163,Customer 163,Region 5,City 14
C282,Customer 282,Region 1,City 13
C052,Customer 52,Region 4,City 23
C042,Customer 42,Region 5,City 13
C040,Customer 40,Region 3,City 11
C276,Customer 276,Region 2,City 7
C179,Customer 179,Region 5,City 30
C244,Customer 244,Region 3,City 5
C146,Customer 146,Region 7,City 27
C185,Customer 185,Region 10,City 6
C253,Customer 253,Region 7,City 14
C270,Customer 270,Region 1,City 1
C039,Customer 39,Region 6,City 10
C225,Customer 225,Region 7,City 16
C009,Customer 9,Region 7,City 10
C095,Customer 95,Region 7,City 6
C093,Customer 93,Region 8,City 4
C048,Customer 48,Region 10,City 19
C046,Customer 46,Region 4,City 17
C268,Customer 268,Region 8,City 29
C119,Customer 119,Region 1,City 30
C295,Customer 295,Region 2,City 26
C173,Customer 173,Region 4,City 24
C149,Customer 149,Region 9,City 30
C213,Customer 213,Region 2,City 4
C247,Customer 247,Region 6,City 8
C166,Customer 166,Region 5,City 17
C296,Customer 296,Region 2,City 27
C258,Customer 258,Region 5,City 19
C274,Customer 274,Region 1,City 5
C073,Customer 73,Region 7,City 14
C234,Customer 234,Region 8,City 25
C113,Customer 113,Region 8,City 24
C070,Customer 70,Region 2,City 11
C187,Customer 187,Region 3,City 8
C221,Customer 221,Region 1,City 12
C078,Customer 78,Region 8,City 19
C262,Customer 262,Region 3,City 23
C013,Customer 13,Region 6,City 14
C284,Customer 284,Region 8,City 15
C287,Customer 287,Region 1,City 18
C001,Customer 1,Region 10,City 2
C062,Customer 62,Region 8,City 3
C246,Customer 246,Region 10,City 7
C154,Customer 154,Region 10,City 5
C125,Customer 125,Region 6,City 6
C250,Customer 250,Region 5,City 11
C112,Customer 112,Region 10,City 23
C165,Customer 165,Region 9,City 16
C060,Customer 60,Region 4,City 1
C293,Customer 293,Region 3,City 24
C215,Customer 215,Region 9,City 6
C088,Customer 88,Region 5,City 29
C087,Customer 87,Region 7,City 28
C297,Customer 297,Region 8,City 28
C257,Customer 257,Region 6,City 18
C126,Customer 126,Region 7,City 7
C300,Customer 300,Region 5,City 1
C065,Customer 65,Region 3,City 6
C237,Customer 237,Region 1,City 28
C129,Customer 129,Region 10,City 10
C092,Customer 92,Region 2,City 3
C019,Customer 19,Region 1,City 20
C080,Customer 80,Region 8,City 21
C083,Customer 83,Region 1,City 24
C043,Customer 43,Region 9,City 14
C136,Customer 136,Region 5,City 17
C230,Customer 230,Region 1,City 21
C143,Customer 143,Region 8,City 24
C105,Customer 105,Region 7,City 16
C031,Customer 31,Region 5,City 2
C110,Customer 110,Region 3,City 21
C196,Customer 196,Region 6,City 17
C072,Customer 72,Region 9,City 13
C024,Customer 24,Region 2,City 25
C240,Customer 240,Region 5,City 1
C151,Customer 151,Region 10,City 2
C189,Customer 189,Region 9,City 10
C144,Customer 144,Region 4,City 25
C249,Customer 249,Region 2,City 10
C186,Customer 186,Region 8,City 7
C281,Customer 281,Region 8,City 12
C061,Customer 61,Region 1,City 2
C264,Customer 264,Region 2,City 25
C178,Customer 178,Region 3,City 29
C182,Customer 182,Region 5,City 3
C032,Customer 32,Region 4,City 3
C248,Customer 248,Region 6,City 9
C058,Customer 58,Region 4,City 29
C107,Customer 107,Region 5,City 18
C200,Customer 200,Region 3,City 21
C054,Customer 54,Region 10,City 25
C219,Customer 219,Region 1,City 10
C089,Customer 89,Region 3,City 30
C239,Customer 239,Region 2,City 30
C091,Customer 91,Region 8,City 2
C066,Customer 66,Region 5,City 7
C139,Customer 139,Region 8,City 20
C193,Customer 193,Region 4,City 14
C214,Customer 214,Region 3,City 5
C170,Customer 170,Region 4,City 21
C192,Customer 192,Region 3,City 13
C084,Customer 84,Region 9,City 25
C075,Customer 75,Region 3,City 16
C277,Customer 277,Region 10,City 8
C207,Customer 207,Region 2,City 28
C138,Customer 138,Region 2,City 19
C123,Customer 123,Region 5,City 4
C141,Customer 141,Region 2,City 22
C101,Customer 101,Region 7,City 12
C161,Customer 161,Region 10,City 12
C085,Customer 85,Region 3,City 26
C056,Customer 56,Region 10,City 27
C229,Customer 229,Region 2,City 20
C216,Customer 216,Region 9,City 7
C212,Customer 212,Region 5,City 3
C266,Customer 266,Region 10,City 27
C142,Customer 142,Region 2,City 23
C299,Customer 299,Region 8,City 30
C064,Customer 64,Region 2,City 5
C298,Customer 298,Region 4,City 29
C086,Customer 86,Region 5,City 27
C194,Customer 194,Region 1,City 15
C209,Customer 209,Region 10,City 30
C003,Customer 3,Region 9,City 4
C098,Customer 98,Region 5,City 9
C279,Customer 279,Region 9,City 10
C130,Customer 130,Region 3,City 11
C041,Customer 41,Region 4,City 12
C232,Customer 232,Region 2,City 23
C020,Customer 20,Region 4,City 21
C051,Customer 51,Region 10,City 22
C265,Customer 265,Region 8,City 26
C157,Customer 157,Region 2,City 8
C103,Customer 103,Region 3,City 14
C190,Customer 190,Region 3,City 11
C197,Customer 197,Region 10,City 18
C122,Customer 122,Region 3,City 3
C236,Customer 236,Region 10,City 27
C241,Customer 241,Region 6,City 2
C079,Customer 79,Region 7,City 20
C010,Customer 10,Region 6,City 11
C099,Customer 99,Region 8,City 10
C008,Customer 8,Region 10,City 9
C034,Customer 34,Region 2,City 5
C028,Customer 28,Region 1,City 29
C206,Customer 206,Region 7,City 27
C273,Customer 273,Region 8,City 4
C261,Customer 261,Region 5,City 22
C108,Customer 108,Region 7,City 19
C004,Customer 4,Region 6,City 5
C164,Customer 164,Region 3,City 15
C180,Customer 180,Region 3,City 1
C037,Customer 37,Region 7,City 8
C208,Customer 208,Region 9,City 29
C226,Customer 226,Region 4,City 17
C222,Customer 222,Region 8,City 13
C224,Customer 224,Region 6,City 15
C195,Customer 195,Region 1,City 16
C168,Customer 168,Region 7,City 19
C069,Customer 69,Region 4,City 10
C120,Customer 120,Region 8,City 1
C022,Customer 22,Region 2,City 23
C169,Customer 169,Region 1,City 20
C188,Customer 188,Region 2,City 9
C127,Customer 127,Region 7,City 8
C294,Customer 294,Region 9,City 25
C140,Customer 140,Region 2,City 21
C292,Customer 292,Region 7,City 23
C231,Customer 231,Region 7,City 22
C055,Customer 55,Region 4,City 26
C280,Customer 280,Region 4,City 11
C094,Customer 94,Region 10,City 5
C111,Customer 111,Region 7,City 22
C167,Customer 167,Region 3,City 18
C160,Customer 160,Region 7,City 11
C263,Customer 263,Region 2,City 24
C059,Customer 59,Region 10,City 30
C053,Customer 53,Region 8,City 24
C007,Customer 7,Region 10,City 8
C283,Customer 283,Region 10,City 14
C176,Customer 176,Region 3,City 27
C029,Customer 29,Region 9,City 30
C203,Customer 203,Region 9,City 24
C254,Customer 254,Region 7,City 15
C288,Customer 288,Region 8,City 19
C132,Customer 132,Region 2,City 13
C017,Customer 17,Region 7,City 18
C044,Customer 44,Region 2,City 15
C201,Customer 201,Region 4,City 22
C050,Customer 50,Region 7,City 21
C016,Customer 16,Region 1,City 17
C184,Customer 184,Region 1,City 5
C205,Customer 205,Region 6,City 26
C162,Customer 162,Region 7,City 13
C023,Customer 23,Region 8,City 24
C256,Customer 256,Region 10,City 17
C202,Customer 202,Region 7,City 23
C018,Customer 18,Region 9,City 19
C057,Customer 57,Region 7,City 28
C220,Customer 220,Region 9,City 11
C104,Customer 104,Region 4,City 15
C134,Customer 134,Region 2,City 15
C217,Customer 217,Region 4,City 8
C047,Customer 47,Region 2,City 18
C245,Customer 245,Region 3,City 6
C025,Customer 25,Region 6,City 26
C289,Customer 289,Region 6,City 20
C090,Customer 90,Region 4,City 1
C002,Customer 2,Region 1,City 3
C063,Customer 63,Region 9,City 4
C147,Customer 147,Region 7,City 28
C228,Customer 228,Region 7,City 19
