OrderID,OrderDate,CustomerID,CustomerName,Region,City,ProductID,ProductName,Category,Quantity,UnitPrice,SalesAmount,Discount,Profit
O00021,2025-01-22,C286,Customer 286,Region 10,City 17,P065,Product 65,Category 5,5,194.4,972.0,5,190.46
O00022,2025-05-25,C285,Customer 285,Region 3,City 16,P019,Product 19,Category 4,10,20.62,206.2,0,48.78
O00023,2025-05-01,C235,Customer 235,Region 4,City 26,P093,Product 93,Category 3,4,53.85,215.4,15,43.1
O00024,2025-08-29,C148,Customer 148,Region 1,City 29,P027,Product 27,Category 12,2,273.37,546.74,15,113.86
O00025,2025-02-09,C227,Customer 227,Region 9,City 18,P030,Product 30,Category 15,5,225.39,1126.95,20,121.53
O00026,2025-12-18,C102,Customer 102,Region 7,City 13,P011,Product 11,Category 11,3,48.35,145.05,20,31.0
O00027,2025-05-14,C118,Customer 118,Region 4,City 29,P088,Product 88,Category 13,2,289.01,578.02,15,103.2
O00028,2025-11-09,C076,Customer 76,Region 6,City 17,P079,Product 79,Category 4,9,47.04,423.36,5,42.77
O00029,2025-04-02,C131,Customer 131,Region 7,City 12,P025,Product 25,Category 10,10,34.77,347.7,5,78.82
O00030,2025-10-13,C049,Customer 49,Region 2,City 20,P037,Product 37,Category 7,2,329.5,659.0,15,150.0
O00031,2025-09-13,C290,Customer 290,Region 2,City 21,P080,Product 80,Category 5,3,322.73,968.19,0,166.99
O00032,2025-03-17,C081,Customer 81,Region 7,City 22,P003,Product 3,Category 3,1,436.22,436.22,5,67.01
O00033,2025-02-07,C199,Customer 199,Region 8,City 20,P022,Product 22,Category 7,9,474.2,4267.8,20,397.64
O00034,2025-06-23,C156,Customer 156,Region 2,City 7,P084,Product 84,Category 9,4,410.58,1642.32,20,113.99
O00035,2025-03-29,C117,Customer 117,Region 10,City 28,P100,Product 100,Category 10,7,118.57,829.99,5,241.29
O00036,2025-12-04,C033,Customer 33,Region 1,City 4,P031,Product 31,Category 1,3,69.9,209.7,0,11.31
O00037,2025-11-15,C175,Customer 175,Region 4,City 26,P091,Product 91,Category 1,4,338.65,1354.6,20,378.4
O00038,2025-08-24,C158,Customer 158,Region 9,City 9,P056,Product 56,Category 11,3,261.99,785.97,10,128.66
O00039,2025-10-03,C260,Customer 260,Region 3,City 21,P017,Product 17,Category 2,5,373.36,1866.8,15,454.23
O00040,2025-09-05,C181,Customer 181,Region 4,City 2,P040,Product 40,Category 10,9,456.29,4106.61,5,981.11
O00041,2025-06-26,C210,Customer 210,Region 7,City 1,P038,Product 38,Category 8,10,30.8,308.0,20,89.83
O00042,2025-04-11,C135,Customer 135,Region 2,City 16,P058,Product 58,Category 13,6,201.63,1209.78,5,116.41
O00043,2025-01-26,C128,Customer 128,Region 2,City 9,P082,Product 82,Category 7,3,387.7,1163.1,20,328.07
O00044,2025-03-02,C124,Customer 124,Region 5,City 5,P094,Product 94,Category 4,2,65.36,130.72,20,8.85
O00045,2025-09-23,C036,Customer 36,Region 9,City 7,P073,Product 73,Category 13,4,98.73,394.92,0,85.89
O00046,2025-07-17,C223,Customer 223,Region 3,City 14,P093,Product 93,Category 3,5,53.85,269.25,20,68.8
O00047,2025-07-28,C204,Customer 204,Region 3,City 25,P032,Product 32,Category 2,1,246.16,246.16,5,60.99
O00048,2025-11-06,C155,Customer 155,Region 3,City 6,P086,Product 86,Category 11,6,371.95,2231.7,20,593.33
O00049,2025-01-05,C021,Customer 21,Region 5,City 22,P083,Product 83,Category 8,1,465.48,465.48,5,54.3
O00050,2025-10-13,C153,Customer 153,Region 1,City 4,P050,Product 50,Category 5,3,464.52,1393.56,5,352.51
O00051,2025-05-11,C030,Customer 30,Region 1,City 1,P057,Product 57,Category 12,1,310.13,310.13,10,36.99
O00052,2025-12-17,C133,Customer 133,Region 4,City 14,P067,Product 67,Category 7,10,245.24,2452.4,5,427.34
O00053,2025-11-25,C271,Customer 271,Region 2,City 2,P064,Product 64,Category 4,3,445.94,1337.82,0,273.61
O00054,2025-10-14,C118,Customer 118,Region 4,City 29,P034,Product 34,Category 4,10,389.34,3893.4,10,349.06
O00055,2025-01-11,C067,Customer 67,Region 1,City 8,P099,Product 99,Category 9,7,154.71,1082.97,20,314.65
O00056,2025-09-05,C152,Customer 152,Region 4,City 3,P049,Product 49,Category 4,7,491.59,3441.13,5,204.09
O00057,2025-10-13,C121,Customer 121,Region 7,City 2,P098,Product 98,Category 8,9,335.46,3019.14,15,900.05
O00058,2025-07-11,C260,Customer 260,Region 3,City 21,P092,Product 92,Category 2,10,134.34,1343.4,20,243.11
O00059,2025-11-13,C172,Customer 172,Region 1,City 23,P095,Product 95,Category 5,2,177.16,354.32,0,44.3
O00060,2025-07-05,C114,Customer 114,Region 5,City 25,P003,Product 3,Category 3,7,436.22,3053.54,5,184.05
O00061,2025-02-18,C045,Customer 45,Region 4,City 16,P015,Product 15,Category 15,8,366.97,2935.76,10,284.51
O00062,2025-08-31,C035,Customer 35,Region 1,City 6,P096,Product 96,Category 6,1,437.68,437.68,10,107.72
O00063,2025-08-08,C049,Customer 49,Region 2,City 20,P057,Product 57,Category 12,1,310.13,310.13,20,51.73
O00064,2025-01-16,C082,Customer 82,Region 6,City 23,P015,Product 15,Category 15,9,366.97,3302.73,5,502.03
O00065,2025-12-22,C096,Customer 96,Region 4,City 7,P023,Product 23,Category 8,1,444.27,444.27,15,129.87
O00066,2025-03-01,C109,Customer 109,Region 8,City 20,P099,Product 99,Category 9,8,154.71,1237.68,5,283.03
O00067,2025-01-21,C275,Customer 275,Region 9,City 6,P091,Product 91,Category 1,10,338.65,3386.5,5,692.59
O00068,2025-06-25,C238,Customer 238,Region 5,City 29,P095,Product 95,Category 5,9,177.16,1594.44,5,149.66
O00069,2025-06-11,C128,Customer 128,Region 2,City 9,P055,Product 55,Category 10,9,215.67,1941.03,15,389.89
O00070,2025-04-21,C082,Customer 82,Region 6,City 23,P093,Product 93,Category 3,6,53.85,323.1,15,50.83
O00071,2025-04-28,C006,Customer 6,Region 9,City 7,P078,Product 78,Category 3,6,382.56,2295.36,0,319.5
O00072,2025-09-12,C252,Customer 252,Region 6,City 13,P056,Product 56,Category 11,8,261.99,2095.92,20,269.62
O00073,2025-06-22,C242,Customer 242,Region 7,City 3,P090,Product 90,Category 15,5,299.19,1495.95,0,118.53
O00074,2025-01-16,C100,Customer 100,Region 1,City 11,P009,Product 9,Category 9,6,154.35,926.1,20,62.38
O00075,2025-05-08,C077,Customer 77,Region 8,City 18,P001,Product 1,Category 1,5,254.75,1273.75,10,70.7
O00076,2025-04-18,C251,Customer 251,Region 1,City 12,P050,Product 50,Category 5,6,464.52,2787.12,5,182.64
O00077,2025-10-28,C171,Customer 171,Region 3,City 22,P089,Product 89,Category 14,1,220.92,220.92,0,45.28
O00078,2025-10-24,C014,Customer 14,Region 7,City 15,P025,Product 25,Category 10,9,34.77,312.93,5,75.82
O00079,2025-06-30,C033,Customer 33,Region 1,City 4,P014,Product 14,Category 14,1,159.28,159.28,15,14.52
O00080,2025-12-02,C174,Customer 174,Region 10,City 25,P093,Product 93,Category 3,4,53.85,215.4,5,56.93
O00081,2025-10-11,C291,Customer 291,Region 4,City 22,P079,Product 79,Category 4,2,47.04,94.08,15,24.65
O00082,2025-07-01,C218,Customer 218,Region 4,City 9,P039,Product 39,Category 9,6,489.97,2939.82,15,212.75
O00083,2025-10-17,C026,Customer 26,Region 7,City 27,P080,Product 80,Category 5,4,322.73,1290.92,15,117.88
O00084,2025-11-27,C027,Customer 27,Region 5,City 28,P050,Product 50,Category 5,5,464.52,2322.6,20,188.94
O00085,2025-05-26,C097,Customer 97,Region 6,City 8,P014,Product 14,Category 14,6,159.28,955.68,0,262.46
O00086,2025-03-23,C116,Customer 116,Region 1,City 27,P063,Product 63,Category 3,6,307.88,1847.28,5,254.42
O00087,2025-09-17,C267,Customer 267,Region 5,City 28,P089,Product 89,Category 14,9,220.92,1988.28,5,366.66
O00088,2025-03-07,C211,Customer 211,Region 9,City 2,P100,Product 100,Category 10,3,118.57,355.71,0,35.49
O00089,2025-06-13,C218,Customer 218,Region 4,City 9,P058,Product 58,Category 13,3,201.63,604.89,15,126.84
O00090,2025-04-26,C124,Customer 124,Region 5,City 5,P073,Product 73,Category 13,10,98.73,987.3,5,55.12
O00091,2025-12-15,C038,Customer 38,Region 4,City 9,P017,Product 17,Category 2,8,373.36,2986.88,10,240.77
O00092,2025-09-30,C272,Customer 272,Region 5,City 3,P001,Product 1,Category 1,8,254.75,2038.0,10,490.96
O00093,2025-08-03,C005,Customer 5,Region 8,City 6,P037,Product 37,Category 7,4,329.5,1318.0,15,276.63
O00094,2025-08-30,C243,Customer 243,Region 10,City 4,P098,Product 98,Category 8,3,335.46,1006.38,10,61.88
O00095,2025-04-09,C012,Customer 12,Region 1,City 13,P026,Product 26,Category 11,8,474.87,3798.96,10,432.41
O00096,2025-06-04,C015,Customer 15,Region 6,City 16,P024,Product 24,Category 9,7,73.05,511.35,20,135.42
O00097,2025-06-20,C115,Customer 115,Region 5,City 26,P005,Product 5,Category 5,7,86.73,607.11,15,137.99
O00098,2025-01-04,C163,Customer 163,Region 5,City 14,P052,Product 52,Category 7,8,409.71,3277.68,10,627.84
O00099,2025-06-28,C282,Customer 282,Region 1,City 13,P073,Product 73,Category 13,9,98.73,888.57,0,153.29
O00100,2025-05-10,C026,Customer 26,Region 7,City 27,P031,Product 31,Category 1,7,69.9,489.3,0,90.56
O00101,2025-09-29,C243,Customer 243,Region 10,City 4,P089,Product 89,Category 14,6,220.92,1325.52,0,141.11
O00102,2025-11-28,C052,Customer 52,Region 4,City 23,P040,Product 40,Category 10,9,456.29,4106.61,20,307.24
O00103,2025-03-08,C042,Customer 42,Region 5,City 13,P085,Product 85,Category 10,2,456.11,912.22,15,143.11
O00104,2025-04-29,C040,Customer 40,Region 3,City 11,P052,Product 52,Category 7,6,409.71,2458.26,0,316.93
O00105,2025-08-22,C276,Customer 276,Region 2,City 7,P032,Product 32,Category 2,9,246.16,2215.44,20,287.45
O00106,2025-09-20,C179,Customer 179,Region 5,City 30,P040,Product 40,Category 10,9,456.29,4106.61,20,665.83
O00107,2025-11-14,C244,Customer 244,Region 3,City 5,P003,Product 3,Category 3,7,436.22,3053.54,0,536.03
O00108,2025-10-18,C146,Customer 146,Region 7,City 27,P062,Product 62,Category 2,1,167.7,167.7,15,28.34
O00109,2025-01-22,C185,Customer 185,Region 10,City 6,P082,Product 82,Category 7,8,387.7,3101.6,5,198.19
O00110,2025-06-09,C253,Customer 253,Region 7,City 14,P065,Product 65,Category 5,8,194.4,1555.2,5,441.08
O00111,2025-10-12,C106,Customer 106,Region 2,City 17,P031,Product 31,Category 1,1,69.9,69.9,0,3.85
O00112,2025-08-10,C270,Customer 270,Region 1,City 1,P056,Product 56,Category 11,7,261.99,1833.93,20,310.55
O00113,2025-12-16,C039,Customer 39,Region 6,City 10,P060,Product 60,Category 15,6,197.8,1186.8,15,90.01
O00114,2025-08-29,C225,Customer 225,Region 7,City 16,P044,Product 44,Category 14,4,37.1,148.4,20,41.76
O00115,2025-09-03,C009,Customer 9,Region 7,City 10,P085,Product 85,Category 10,5,456.11,2280.55,5,636.91
O00116,2025-02-26,C095,Customer 95,Region 7,City 6,P063,Product 63,Category 3,4,307.88,1231.52,5,150.7
O00117,2025-12-01,C093,Customer 93,Region 8,City 4,P081,Product 81,Category 6,3,112.74,338.22,0,89.24
O00118,2025-06-25,C048,Customer 48,Region 10,City 19,P031,Product 31,Category 1,6,69.9,419.4,10,35.08
O00119,2025-07-02,C006,Customer 6,Region 9,City 7,P064,Product 64,Category 4,2,445.94,891.88,10,198.79
O00120,2025-08-20,C046,Customer 46,Region 4,City 17,P017,Product 17,Category 2,3,373.36,1120.08,20,213.52
O00121,2025-12-13,C268,Customer 268,Region 8,City 29,P071,Product 71,Category 11,1,289.19,289.19,15,23.73
O00122,2025-09-14,C286,Customer 286,Region 10,City 17,P037,Product 37,Category 7,7,329.5,2306.5,20,591.29
O00123,2025-11-07,C119,Customer 119,Region 1,City 30,P042,Product 42,Category 12,7,416.99,2918.93,20,853.46
O00124,2025-12-08,C295,Customer 295,Region 2,City 26,P050,Product 50,Category 5,5,464.52,2322.6,10,313.61
O00125,2025-08-29,C173,Customer 173,Region 4,City 24,P066,Product 66,Category 6,10,79.06,790.6,20,61.47
O00126,2025-03-06,C149,Customer 149,Region 9,City 30,P037,Product 37,Category 7,9,329.5,2965.5,20,278.59
O00127,2025-10-25,C033,Customer 33,Region 1,City 4,P068,Product 68,Category 8,6,366.31,2197.86,10,439.78
O00128,2025-11-09,C213,Customer 213,Region 2,City 4,P031,Product 31,Category 1,5,69.9,349.5,20,67.85
O00129,2025-11-21,C042,Customer 42,Region 5,City 13,P057,Product 57,Category 12,9,310.13,2791.17,5,805.34
O00130,2025-02-06,C247,Customer 247,Region 6,City 8,P019,Product 19,Category 4,7,20.62,144.34,0,16.57
O00131,2025-07-24,C166,Customer 166,Region 5,City 17,P008,Product 8,Category 8,5,252.32,1261.6,10,112.52
O00132,2025-01-17,C296,Customer 296,Region 2,City 27,P004,Product 4,Category 4,7,446.21,3123.47,15,482.84
O00133,2025-04-30,C258,Customer 258,Region 5,City 19,P059,Product 59,Category 14,4,348.66,1394.64,5,72.84
O00134,2025-09-22,C274,Customer 274,Region 1,City 5,P049,Product 49,Category 4,4,491.59,1966.36,5,387.08
O00135,2025-05-11,C073,Customer 73,Region 7,City 14,P003,Product 3,Category 3,3,436.22,1308.66,5,227.72
O00136,2025-05-26,C234,Customer 234,Region 8,City 25,P041,Product 41,Category 11,5,267.12,1335.6,0,259.05
O00137,2025-07-03,C296,Customer 296,Region 2,City 27,P002,Product 2,Category 2,6,181.44,1088.64,0,325.65
O00138,2025-04-29,C097,Customer 97,Region 6,City 8,P060,Product 60,Category 15,1,197.8,197.8,10,46.38
O00139,2025-01-12,C270,Customer 270,Region 1,City 1,P081,Product 81,Category 6,4,112.74,450.96,15,129.64
O00140,2025-04-04,C113,Customer 113,Region 8,City 24,P084,Product 84,Category 9,3,410.58,1231.74,10,83.46
O00141,2025-04-30,C275,Customer 275,Region 9,City 6,P011,Product 11,Category 11,3,48.35,145.05,5,14.97
O00142,2025-12-27,C171,Customer 171,Region 3,City 22,P083,Product 83,Category 8,1,465.48,465.48,5,33.81
O00143,2025-08-20,C038,Customer 38,Region 4,City 9,P054,Product 54,Category 9,2,12.91,25.82,15,2.5
O00144,2025-09-01,C070,Customer 70,Region 2,City 11,P049,Product 49,Category 4,3,491.59,1474.77,10,373.08
O00145,2025-03-05,C187,Customer 187,Region 3,City 8,P040,Product 40,Category 10,2,456.29,912.58,10,204.68
O00146,2025-06-11,C221,Customer 221,Region 1,City 12,P048,Product 48,Category 3,7,392.2,2745.4,15,205.4
O00147,2025-02-13,C078,Customer 78,Region 8,City 19,P020,Product 20,Category 5,6,261.28,1567.68,10,353.43
O00148,2025-07-19,C262,Customer 262,Region 3,City 23,P025,Product 25,Category 10,9,34.77,312.93,5,87.79
O00149,2025-03-19,C013,Customer 13,Region 6,City 14,P018,Product 18,Category 3,9,218.78,1969.02,15,465.71
O00150,2025-08-23,C284,Customer 284,Region 8,City 15,P073,Product 73,Category 13,6,98.73,592.38,15,39.88
O00151,2025-12-12,C106,Customer 106,Region 2,City 17,P078,Product 78,Category 3,2,382.56,765.12,10,104.16
O00152,2025-08-11,C093,Customer 93,Region 8,City 4,P025,Product 25,Category 10,1,34.77,34.77,0,3.8
O00153,2025-02-27,C287,Customer 287,Region 1,City 18,P002,Product 2,Category 2,8,181.44,1451.52,0,305.09
O00154,2025-11-30,C001,Customer 1,Region 10,City 2,P067,Product 67,Category 7,7,245.24,1716.68,10,398.26
O00155,2025-04-25,C062,Customer 62,Region 8,City 3,P089,Product 89,Category 14,5,220.92,1104.6,0,297.5
O00156,2025-06-22,C246,Customer 246,Region 10,City 7,P020,Product 20,Category 5,8,261.28,2090.24,10,586.88
O00157,2025-01-03,C106,Customer 106,Region 2,City 17,P010,Product 10,Category 10,9,293.01,2637.09,0,254.03
O00158,2025-03-19,C021,Customer 21,Region 5,City 22,P066,Product 66,Category 6,9,79.06,711.54,10,168.9
O00159,2025-09-29,C154,Customer 154,Region 10,City 5,P078,Product 78,Category 3,3,382.56,1147.68,15,66.91
O00160,2025-12-05,C125,Customer 125,Region 6,City 6,P029,Product 29,Category 14,1,260.21,260.21,0,72.84
O00161,2025-06-04,C250,Customer 250,Region 5,City 11,P061,Product 61,Category 1,10,126.53,1265.3,20,264.22
O00162,2025-08-28,C112,Customer 112,Region 10,City 23,P072,Product 72,Category 12,10,27.53,275.3,15,37.85
O00163,2025-04-09,C165,Customer 165,Region 9,City 16,P002,Product 2,Category 2,9,181.44,1632.96,5,392.58
O00164,2025-02-20,C286,Customer 286,Region 10,City 17,P032,Product 32,Category 2,10,246.16,2461.6,15,133.37
O00165,2025-07-04,C253,Customer 253,Region 7,City 14,P100,Product 100,Category 10,3,118.57,355.71,15,41.62
O00166,2025-04-16,C171,Customer 171,Region 3,City 22,P032,Product 32,Category 2,1,246.16,246.16,20,16.22
O00167,2025-08-17,C060,Customer 60,Region 4,City 1,P097,Product 97,Category 7,3,226.37,679.11,10,198.4
O00168,2025-08-15,C271,Customer 271,Region 2,City 2,P002,Product 2,Category 2,10,181.44,1814.4,15,311.31
O00169,2025-12-04,C052,Customer 52,Region 4,City 23,P095,Product 95,Category 5,10,177.16,1771.6,10,439.77
O00170,2025-02-07,C293,Customer 293,Region 3,City 24,P011,Product 11,Category 11,7,48.35,338.45,15,82.35
O00171,2025-07-03,C049,Customer 49,Region 2,City 20,P064,Product 64,Category 4,10,445.94,4459.4,0,418.83
O00172,2025-12-22,C215,Customer 215,Region 9,City 6,P074,Product 74,Category 14,3,291.07,873.21,5,185.08
O00173,2025-06-20,C035,Customer 35,Region 1,City 6,P005,Product 5,Category 5,8,86.73,693.84,0,199.58
O00174,2025-03-15,C088,Customer 88,Region 5,City 29,P039,Product 39,Category 9,4,489.97,1959.88,20,105.28
O00175,2025-08-30,C087,Customer 87,Region 7,City 28,P083,Product 83,Category 8,6,465.48,2792.88,10,249.04
O00176,2025-02-03,C235,Customer 235,Region 4,City 26,P034,Product 34,Category 4,3,389.34,1168.02,10,318.66
O00177,2025-11-01,C038,Customer 38,Region 4,City 9,P069,Product 69,Category 9,10,386.3,3863.0,20,723.53
O00178,2025-10-06,C253,Customer 253,Region 7,City 14,P021,Product 21,Category 6,4,126.09,504.36,10,149.81
O00179,2025-11-03,C297,Customer 297,Region 8,City 28,P081,Product 81,Category 6,5,112.74,563.7,20,139.37
O00180,2025-06-05,C006,Customer 6,Region 9,City 7,P087,Product 87,Category 12,2,230.44,460.88,0,85.77
O00181,2025-05-02,C257,Customer 257,Region 6,City 18,P100,Product 100,Category 10,9,118.57,1067.13,15,242.84
O00182,2025-05-27,C253,Customer 253,Region 7,City 14,P082,Product 82,Category 7,5,387.7,1938.5,10,178.4
O00183,2025-04-29,C049,Customer 49,Region 2,City 20,P053,Product 53,Category 8,4,434.3,1737.2,20,330.31
O00184,2025-10-23,C126,Customer 126,Region 7,City 7,P060,Product 60,Category 15,8,197.8,1582.4,15,133.41
O00185,2025-03-01,C221,Customer 221,Region 1,City 12,P023,Product 23,Category 8,3,444.27,1332.81,0,248.68
O00186,2025-01-19,C030,Customer 30,Region 1,City 1,P094,Product 94,Category 4,9,65.36,588.24,20,76.17
O00187,2025-09-26,C300,Customer 300,Region 5,City 1,P096,Product 96,Category 6,6,437.68,2626.08,0,698.43
O00188,2025-07-03,C065,Customer 65,Region 3,City 6,P096,Product 96,Category 6,9,437.68,3939.12,5,1072.29
O00189,2025-03-25,C237,Customer 237,Region 1,City 28,P049,Product 49,Category 4,2,491.59,983.18,0,110.3
O00190,2025-07-25,C129,Customer 129,Region 10,City 10,P047,Product 47,Category 2,2,198.11,396.22,10,73.29
O00191,2025-10-07,C137,Customer 137,Region 10,City 18,P027,Product 27,Category 12,6,273.37,1640.22,5,293.76
O00192,2025-09-16,C092,Customer 92,Region 2,City 3,P005,Product 5,Category 5,8,86.73,693.84,10,50.11
O00193,2025-10-11,C019,Customer 19,Region 1,City 20,P073,Product 73,Category 13,4,98.73,394.92,0,84.23
O00194,2025-03-26,C274,Customer 274,Region 1,City 5,P041,Product 41,Category 11,10,267.12,2671.2,20,598.75
O00195,2025-04-05,C080,Customer 80,Region 8,City 21,P085,Product 85,Category 10,6,456.11,2736.66,15,435.31
O00196,2025-06-05,C087,Customer 87,Region 7,City 28,P053,Product 53,Category 8,7,434.3,3040.1,0,478.93
O00197,2025-07-05,C287,Customer 287,Region 1,City 18,P004,Product 4,Category 4,2,446.21,892.42,0,219.44
O00198,2025-01-22,C181,Customer 181,Region 4,City 2,P074,Product 74,Category 14,6,291.07,1746.42,5,295.14
O00199,2025-12-13,C049,Customer 49,Region 2,City 20,P064,Product 64,Category 4,7,445.94,3121.58,5,221.6
O00200,2025-01-29,C083,Customer 83,Region 1,City 24,P017,Product 17,Category 2,6,373.36,2240.16,20,280.03
O00201,2025-03-20,C043,Customer 43,Region 9,City 14,P047,Product 47,Category 2,6,198.11,1188.66,20,294.76
O00202,2025-12-26,C211,Customer 211,Region 9,City 2,P057,Product 57,Category 12,6,310.13,1860.78,0,212.74
O00203,2025-06-04,C136,Customer 136,Region 5,City 17,P063,Product 63,Category 3,5,307.88,1539.4,0,141.93
O00204,2025-07-19,C247,Customer 247,Region 6,City 8,P073,Product 73,Category 13,10,98.73,987.3,20,121.09
O00205,2025-12-06,C113,Customer 113,Region 8,City 24,P085,Product 85,Category 10,5,456.11,2280.55,10,117.51
O00206,2025-05-23,C159,Customer 159,Region 9,City 10,P027,Product 27,Category 12,9,273.37,2460.33,10,716.0
O00207,2025-12-04,C242,Customer 242,Region 7,City 3,P042,Product 42,Category 12,5,416.99,2084.95,5,225.27
O00208,2025-06-28,C005,Customer 5,Region 8,City 6,P061,Product 61,Category 1,4,126.53,506.12,0,25.52
O00209,2025-01-25,C191,Customer 191,Region 5,City 12,P069,Product 69,Category 9,5,386.3,1931.5,5,458.98
O00210,2025-10-22,C230,Customer 230,Region 1,City 21,P039,Product 39,Category 9,9,489.97,4409.73,10,584.33
O00211,2025-01-09,C143,Customer 143,Region 8,City 24,P072,Product 72,Category 12,3,27.53,82.59,20,19.05
O00212,2025-09-05,C105,Customer 105,Region 7,City 16,P083,Product 83,Category 8,1,465.48,465.48,15,114.72
O00213,2025-01-27,C118,Customer 118,Region 4,City 29,P015,Product 15,Category 15,4,366.97,1467.88,10,359.01
O00214,2025-03-27,C011,Customer 11,Region 6,City 12,P066,Product 66,Category 6,9,79.06,711.54,10,81.58
O00215,2025-01-07,C031,Customer 31,Region 5,City 2,P009,Product 9,Category 9,4,154.35,617.4,15,44.68
O00216,2025-07-10,C110,Customer 110,Region 3,City 21,P099,Product 99,Category 9,3,154.71,464.13,0,81.79
O00217,2025-12-16,C196,Customer 196,Region 6,City 17,P018,Product 18,Category 3,2,218.78,437.56,20,106.74
O00218,2025-09-16,C072,Customer 72,Region 9,City 13,P087,Product 87,Category 12,8,230.44,1843.52,10,356.81
O00219,2025-10-20,C040,Customer 40,Region 3,City 11,P017,Product 17,Category 2,4,373.36,1493.44,15,81.72
O00220,2025-06-21,C024,Customer 24,Region 2,City 25,P022,Product 22,Category 7,1,474.2,474.2,15,105.22
O00221,2025-03-01,C048,Customer 48,Region 10,City 19,P002,Product 2,Category 2,7,181.44,1270.08,0,360.49
O00222,2025-06-15,C114,Customer 114,Region 5,City 25,P086,Product 86,Category 11,10,371.95,3719.5,20,1054.89
O00223,2025-11-23,C005,Customer 5,Region 8,City 6,P059,Product 59,Category 14,8,348.66,2789.28,20,458.51
O00224,2025-08-30,C240,Customer 240,Region 5,City 1,P068,Product 68,Category 8,5,366.31,1831.55,0,226.01
O00225,2025-10-31,C151,Customer 151,Region 10,City 2,P018,Product 18,Category 3,4,218.78,875.12,10,96.87
O00226,2025-10-18,C189,Customer 189,Region 9,City 10,P052,Product 52,Category 7,10,409.71,4097.1,0,442.79
O00227,2025-07-16,C144,Customer 144,Region 4,City 25,P090,Product 90,Category 15,1,299.19,299.19,0,57.1
O00228,2025-08-01,C095,Customer 95,Region 7,City 6,P028,Product 28,Category 13,5,186.78,933.9,5,117.62
O00229,2025-01-28,C249,Customer 249,Region 2,City 10,P023,Product 23,Category 8,1,444.27,444.27,15,23.9
O00230,2025-06-10,C166,Customer 166,Region 5,City 17,P088,Product 88,Category 13,8,289.01,2312.08,0,573.5
O00231,2025-04-08,C186,Customer 186,Region 8,City 7,P052,Product 52,Category 7,2,409.71,819.42,10,93.69
O00232,2025-02-05,C293,Customer 293,Region 3,City 24,P076,Product 76,Category 1,8,21.06,168.48,0,27.8
O00233,2025-06-01,C204,Customer 204,Region 3,City 25,P062,Product 62,Category 2,3,167.7,503.1,10,132.04
O00234,2025-12-15,C281,Customer 281,Region 8,City 12,P083,Product 83,Category 8,10,465.48,4654.8,10,376.18
O00235,2025-01-25,C171,Customer 171,Region 3,City 22,P034,Product 34,Category 4,5,389.34,1946.7,15,123.4
O00236,2025-03-23,C061,Customer 61,Region 1,City 2,P056,Product 56,Category 11,2,261.99,523.98,20,44.39
