OrderID,CustomerID,ProductID,OrderDate,Quantity,SalesAmount,Discount,Profit
O00177,C038,P069,2025-11-01,10,3863.0,20,723.53
O00178,C253,P021,2025-10-06,4,504.36,10,149.81
O00179,C297,P081,2025-11-03,5,563.7,20,139.37
O00180,C006,P087,2025-06-05,2,460.88,0,85.77
O00181,C257,P100,2025-05-02,9,1067.13,15,242.84
O00182,C253,P082,2025-05-27,5,1938.5,10,178.4
O00183,C049,P053,2025-04-29,4,1737.2,20,330.31
O00184,C126,P060,2025-10-23,8,1582.4,15,133.41
O00185,C221,P023,2025-03-01,3,1332.81,0,248.68
O00186,C030,P094,2025-01-19,9,588.24,20,76.17
O00187,C300,P096,2025-09-26,6,2626.08,0,698.43
O00188,C065,P096,2025-07-03,9,3939.12,5,1072.29
O00189,C237,P049,2025-03-25,2,983.18,0,110.3
O00190,C129,P047,2025-07-25,2,396.22,10,73.29
O00191,C137,P027,2025-10-07,6,1640.22,5,293.76
O00192,C092,P005,2025-09-16,8,693.84,10,50.11
O00193,C019,P073,2025-10-11,4,394.92,0,84.23
O00194,C274,P041,2025-03-26,10,2671.2,20,598.75
O00195,C080,P085,2025-04-05,6,2736.66,15,435.31
O00196,C087,P053,2025-06-05,7,3040.1,0,478.93
O00197,C287,P004,2025-07-05,2,892.42,0,219.44
O00198,C181,P074,2025-01-22,6,1746.42,5,295.14
O00199,C049,P064,2025-12-13,7,3121.58,5,221.6
O00200,C083,P017,2025-01-29,6,2240.16,20,280.03
O00201,C043,P047,2025-03-20,6,1188.66,20,294.76
O00202,C211,P057,2025-12-26,6,1860.78,0,212.74
O00203,C136,P063,2025-06-04,5,1539.4,0,141.93
O00204,C247,P073,2025-07-19,10,987.3,20,121.09
O00205,C113,P085,2025-12-06,5,2280.55,10,117.51
O00206,C159,P027,2025-05-23,9,2460.33,10,716.0
O00207,C242,P042,2025-12-04,5,2084.95,5,225.27
O00208,C005,P061,2025-06-28,4,506.12,0,25.52
O00209,C191,P069,2025-01-25,5,1931.5,5,458.98
O00210,C230,P039,2025-10-22,9,4409.73,10,584.33
O00211,C143,P072,2025-01-09,3,82.59,20,19.05
O00212,C105,P083,2025-09-05,1,465.48,15,114.72
O00213,C118,P015,2025-01-27,4,1467.88,10,359.01
O00214,C011,P066,2025-03-27,9,711.54,10,81.58
O00215,C031,P009,2025-01-07,4,617.4,15,44.68
O00216,C110,P099,2025-07-10,3,464.13,0,81.79
O00217,C196,P018,2025-12-16,2,437.56,20,106.74
O00218,C072,P087,2025-09-16,8,1843.52,10,356.81
O00219,C040,P017,2025-10-20,4,1493.44,15,81.72
O00220,C024,P022,2025-06-21,1,474.2,15,105.22
O00221,C048,P002,2025-03-01,7,1270.08,0,360.49
O00222,C114,P086,2025-06-15,10,3719.5,20,1054.89
O00223,C005,P059,2025-11-23,8,2789.28,20,458.51
O00224,C240,P068,2025-08-30,5,1831.55,0,226.01
O00225,C151,P018,2025-10-31,4,875.12,10,96.87
O00226,C189,P052,2025-10-18,10,4097.1,0,442.79
O00227,C144,P090,2025-07-16,1,299.19,0,57.1
O00228,C095,P028,2025-08-01,5,933.9,5,117.62
O00229,C249,P023,2025-01-28,1,444.27,15,23.9
O00230,C166,P088,2025-06-10,8,2312.08,0,573.5
O00231,C186,P052,2025-04-08,2,819.42,10,93.69
O00232,C293,P076,2025-02-05,8,168.48,0,27.8
O00233,C204,P062,2025-06-01,3,503.1,10,132.04
O00234,C281,P083,2025-12-15,10,4654.8,10,376.18
O00235,C171,P034,2025-01-25,5,1946.7,15,123.4
O00236,C061,P056,2025-03-23,2,523.98,20,44.39
O00237,C264,P067,2025-06-24,2,490.48,20,57.8
O00238,C178,P010,2025-09-30,1,293.01,5,67.69
O00239,C062,P052,2025-09-17,4,1638.84,5,249.95
O00240,C182,P002,2025-12-04,10,1814.4,5,153.46
O00241,C032,P055,2025-05-29,6,1294.02,10,292.26
O00242,C248,P068,2025-07-13,8,2930.48,5,519.17
O00243,C215,P061,2025-09-03,5,632.65,15,181.51
O00244,C058,P012,2025-04-07,4,1812.6,10,95.31
O00245,C284,P048,2025-10-31,6,2353.2,20,537.32
O00246,C135,P016,2025-04-25,9,269.28,5,33.71
O00247,C136,P078,2025-05-18,9,3443.04,20,839.59
O00248,C043,P048,2025-01-31,4,1568.8,0,342.83
O00249,C107,P013,2025-04-27,8,376.32,5,42.92
O00250,C200,P061,2025-09-19,10,1265.3,5,184.47
O00251,C107,P072,2025-08-17,4,110.12,20,25.31
O00252,C054,P013,2025-08-21,10,470.4,5,50.47
O00253,C278,P099,2025-07-09,1,154.71,20,33.23
O00254,C286,P024,2025-08-05,3,219.15,5,19.94
O00255,C219,P057,2025-05-22,3,930.39,10,72.94
O00256,C089,P009,2025-07-04,1,154.35,0,34.57
O00257,C073,P054,2025-06-04,7,90.37,0,7.78
O00258,C239,P057,2025-09-25,8,2481.04,15,458.84
O00259,C091,P021,2025-02-22,4,504.36,15,31.48
O00260,C066,P017,2025-02-27,5,1866.8,10,281.04
O00261,C204,P035,2025-06-14,3,447.09,15,86.22
O00262,C139,P043,2025-11-20,6,2246.4,10,210.81
O00263,C297,P026,2025-06-24,4,1899.48,15,465.18
O00264,C031,P080,2025-11-06,4,1290.92,20,75.69
O00265,C049,P037,2025-06-13,3,988.5,10,139.56
O00266,C193,P021,2025-03-07,9,1134.81,5,81.49
O00267,C046,P077,2025-05-23,2,950.02,20,155.8
O00268,C186,P061,2025-05-25,4,506.12,10,34.6
O00269,C100,P028,2025-06-17,9,1681.02,15,132.46
O00270,C181,P044,2025-01-30,6,222.6,10,15.81
O00271,C214,P039,2025-10-19,6,2939.82,5,433.97
O00272,C170,P083,2025-04-04,1,465.48,15,46.49
O00273,C058,P026,2025-07-06,6,2849.22,15,736.95
O00274,C015,P038,2025-01-25,9,277.2,10,17.18
O00275,C192,P097,2025-07-01,4,905.48,0,242.94
O00276,C084,P008,2025-02-04,3,756.96,15,202.11
O00277,C075,P042,2025-07-07,4,1667.96,0,384.45
O00278,C277,P090,2025-03-12,5,1495.95,0,319.36
O00279,C207,P024,2025-12-27,2,146.1,15,17.32
O00280,C100,P007,2025-06-18,9,4065.93,15,925.74
O00281,C187,P078,2025-06-25,10,3825.6,15,697.55
O00282,C179,P088,2025-02-15,6,1734.06,20,489.46
O00283,C138,P006,2025-02-11,8,522.96,15,155.38
O00284,C250,P087,2025-05-21,6,1382.64,5,129.27
O00285,C275,P097,2025-05-07,10,2263.7,0,474.44
O00286,C276,P094,2025-05-12,9,588.24,20,52.64
O00287,C100,P023,2025-07-01,8,3554.16,10,872.84
O00288,C123,P009,2025-09-07,9,1389.15,10,391.87
O00289,C105,P071,2025-09-26,2,578.38,0,140.11
O00290,C240,P015,2025-10-19,7,2568.79,20,628.65
O00291,C174,P045,2025-12-05,8,1514.32,15,147.87
O00292,C267,P083,2025-12-08,7,3258.36,0,747.56
O00293,C141,P018,2025-04-28,6,1312.68,15,310.02
O00294,C191,P004,2025-07-28,2,892.42,15,185.77
O00295,C032,P075,2025-03-24,4,1673.28,15,111.95
O00296,C101,P089,2025-03-04,2,441.84,0,42.01
O00297,C161,P001,2025-02-01,3,764.25,10,152.61
O00298,C277,P061,2025-03-22,8,1012.24,20,228.03
O00299,C107,P034,2025-01-06,8,3114.72,10,804.69
O00300,C012,P020,2025-08-31,6,1567.68,20,264.39
O00301,C036,P066,2025-09-28,5,395.3,0,42.26
O00302,C149,P048,2025-11-01,5,1961.0,5,462.85
O00303,C084,P009,2025-09-22,4,617.4,20,88.78
O00304,C085,P068,2025-03-01,3,1098.93,10,251.84
O00305,C182,P056,2025-05-06,5,1309.95,0,240.27
O00306,C159,P048,2025-03-22,9,3529.8,5,190.32
O00307,C131,P098,2025-06-08,4,1341.84,15,147.97
O00308,C253,P064,2025-12-14,8,3567.52,20,791.91
O00309,C181,P046,2025-06-14,3,126.27,20,16.27
O00310,C056,P098,2025-11-29,10,3354.6,5,638.18
O00311,C251,P056,2025-11-01,1,261.99,5,27.69
O00312,C060,P088,2025-06-14,5,1445.05,10,187.64
O00313,C262,P011,2025-07-23,7,338.45,15,69.85
O00314,C229,P026,2025-10-30,10,4748.7,15,1339.99
O00315,C216,P043,2025-05-27,5,1872.0,0,375.06
O00316,C239,P056,2025-04-10,7,1833.93,15,468.22
O00317,C046,P093,2025-07-30,8,430.8,20,51.97
O00318,C105,P025,2025-11-11,9,312.93,20,61.66
O00319,C081,P017,2025-07-13,3,1120.08,20,139.18
O00320,C118,P097,2025-10-21,3,679.11,0,135.04
O00321,C013,P061,2025-01-07,2,253.06,0,31.19
O00322,C212,P084,2025-08-28,6,2463.48,10,276.19
O00323,C266,P078,2025-02-06,10,3825.6,15,386.6
O00324,C182,P024,2025-10-08,10,730.5,5,215.23
O00325,C114,P093,2025-01-28,1,53.85,5,14.75
O00326,C170,P011,2025-01-28,3,145.05,15,39.39
O00327,C142,P019,2025-05-06,5,103.1,15,15.92
O00328,C299,P018,2025-06-10,3,656.34,10,101.76
O00329,C230,P034,2025-03-11,7,2725.38,0,144.18
O00330,C200,P052,2025-12-05,2,819.42,10,81.39
O00331,C064,P011,2025-10-02,5,241.75,5,66.08
O00332,C298,P091,2025-05-04,3,1015.95,10,253.11
O00333,C249,P091,2025-02-08,1,338.65,15,69.22
O00334,C221,P029,2025-03-27,10,2602.1,15,461.65
O00335,C133,P035,2025-06-12,3,447.09,0,128.92
O00336,C183,P022,2025-10-07,7,3319.4,10,511.91
O00337,C056,P034,2025-10-13,6,2336.04,10,204.57
O00338,C058,P009,2025-03-10,1,154.35,15,41.26
O00339,C088,P072,2025-05-14,7,192.71,15,19.09
O00340,C086,P093,2025-09-19,7,376.95,15,58.31
O00341,C290,P092,2025-01-20,4,537.36,0,48.53
O00342,C194,P035,2025-03-19,4,596.12,15,164.8
O00343,C109,P067,2025-12-29,10,2452.4,15,311.74
O00344,C209,P095,2025-03-19,6,1062.96,15,77.3
O00345,C158,P051,2025-07-30,4,64.84,0,8.29
O00346,C277,P073,2025-10-20,8,789.84,0,199.04
O00347,C014,P004,2025-06-12,8,3569.68,20,645.75
O00348,C170,P064,2025-12-24,2,891.88,15,225.57
O00349,C175,P100,2025-09-11,9,1067.13,15,317.61
O00350,C276,P086,2025-09-12,6,2231.7,20,286.57
O00351,C126,P069,2025-12-29,4,1545.2,20,210.25
O00352,C003,P070,2025-02-20,10,2310.1,10,422.41
O00353,C098,P019,2025-11-04,5,103.1,10,18.47
O00354,C218,P006,2025-08-12,1,65.37,10,9.12
O00355,C135,P099,2025-11-01,10,1547.1,5,84.96
O00356,C279,P003,2025-05-15,6,2617.32,10,292.53
O00357,C298,P061,2025-10-14,3,379.59,10,72.86
O00358,C035,P079,2025-01-11,4,188.16,15,41.37
O00359,C191,P094,2025-06-21,9,588.24,0,97.15
O00360,C276,P100,2025-10-20,9,1067.13,10,197.58
O00361,C130,P001,2025-04-25,2,509.5,0,51.53
O00362,C158,P046,2025-09-17,8,336.72,20,28.27
O00363,C030,P007,2025-08-08,4,1807.08,10,514.94
O00364,C264,P077,2025-01-22,5,2375.05,5,217.89
O00365,C151,P089,2025-02-07,6,1325.52,20,241.05
O00366,C295,P044,2025-06-09,2,74.2,15,8.77
O00367,C067,P027,2025-04-26,7,1913.59,5,261.85
O00368,C041,P093,2025-09-28,2,107.7,15,7.02
O00369,C232,P065,2025-12-02,1,194.4,0,51.7
O00370,C209,P056,2025-08-12,1,261.99,20,30.29
O00371,C020,P001,2025-03-29,8,2038.0,0,332.64
O00372,C036,P099,2025-07-22,2,309.42,20,47.55
O00373,C129,P043,2025-08-25,7,2620.8,0,310.03
O00374,C117,P067,2025-07-14,10,2452.4,15,351.06
O00375,C172,P018,2025-09-26,4,875.12,15,75.81
O00376,C213,P078,2025-10-09,4,1530.24,0,212.81
O00377,C073,P089,2025-12-23,9,1988.28,5,329.84
O00378,C175,P078,2025-07-21,6,2295.36,20,510.51
O00379,C154,P008,2025-06-01,5,1261.6,10,263.18
O00380,C051,P065,2025-12-09,10,1944.0,5,500.61
O00381,C073,P057,2025-03-25,1,310.13,15,92.85
O00382,C287,P025,2025-06-19,9,312.93,15,82.17
O00383,C265,P024,2025-01-05,5,365.25,5,100.91
O00384,C179,P082,2025-07-07,3,1163.1,5,319.14
O00385,C086,P045,2025-04-13,9,1703.61,5,263.97
O00386,C157,P029,2025-12-18,8,2081.68,5,579.27
O00387,C103,P044,2025-03-12,6,222.6,5,47.44
O00388,C191,P024,2025-10-10,7,511.35,5,135.18
O00389,C270,P049,2025-02-17,1,491.59,5,136.33
O00390,C148,P084,2025-10-13,6,2463.48,0,308.27
O00391,C248,P094,2025-11-06,1,65.36,0,3.33
O00392,C190,P079,2025-12-30,7,329.28,15,94.6
O00393,C197,P075,2025-03-28,10,4183.2,0,336.51
O00394,C139,P047,2025-09-21,1,198.11,15,47.85
O00395,C297,P001,2025-02-06,8,2038.0,15,430.65
O00396,C122,P034,2025-02-23,6,2336.04,0,293.41
O00397,C236,P044,2025-11-24,10,371.0,0,96.69
O00398,C056,P076,2025-08-30,5,105.3,15,24.16
O00399,C110,P080,2025-06-04,3,968.19,10,125.4
O00400,C110,P038,2025-12-21,3,92.4,5,19.31
O00401,C258,P098,2025-07-10,10,3354.6,10,329.23
O00402,C241,P046,2025-09-21,5,210.45,5,32.85
O00403,C107,P096,2025-01-23,2,875.36,5,183.22
O00404,C193,P085,2025-05-01,2,912.22,20,103.27
O00405,C032,P012,2025-08-30,10,4531.5,20,273.5
O00406,C221,P024,2025-10-04,3,219.15,0,18.22
O00407,C117,P007,2025-09-24,8,3614.16,5,850.14
O00408,C262,P024,2025-11-17,5,365.25,10,96.33
O00409,C250,P049,2025-07-21,2,983.18,15,94.83
O00410,C171,P070,2025-08-25,6,1386.06,15,232.8
O00411,C272,P050,2025-04-03,9,4180.68,5,855.79
O00412,C190,P071,2025-05-24,3,867.57,10,137.92
O00413,C079,P024,2025-02-24,6,438.3,0,130.83
O00414,C257,P095,2025-02-27,5,885.8,15,229.66
O00415,C010,P086,2025-08-28,3,1115.85,5,66.84
O00416,C274,P007,2025-04-01,1,451.77,5,128.84
O00417,C271,P092,2025-12-21,6,806.04,20,196.63
O00418,C099,P059,2025-10-30,6,2091.96,15,374.08
O00419,C277,P008,2025-03-25,10,2523.2,15,130.74
O00420,C179,P008,2025-07-23,2,504.64,20,150.89
O00421,C008,P067,2025-05-15,10,2452.4,10,505.71
O00422,C067,P033,2025-05-25,10,3923.7,0,1170.35
O00423,C074,P017,2025-02-06,5,1866.8,20,102.23
O00424,C014,P061,2025-03-23,7,885.71,10,211.09
O00425,C034,P033,2025-10-22,8,3138.96,0,438.86
O00426,C064,P012,2025-09-20,5,2265.75,20,170.23
O00427,C028,P086,2025-03-01,1,371.95,0,87.06
O00428,C174,P045,2025-01-05,9,1703.61,5,148.29
O00429,C048,P053,2025-05-02,3,1302.9,0,227.69
O00430,C206,P012,2025-12-25,10,4531.5,0,352.92
O00431,C273,P073,2025-10-19,9,888.57,20,264.73
O00432,C265,P046,2025-12-28,2,84.18,15,10.25
O00433,C221,P091,2025-12-22,7,2370.55,5,384.24
O00434,C005,P100,2025-11-05,3,355.71,5,30.2
O00435,C261,P074,2025-06-17,6,1746.42,10,491.4
O00436,C249,P010,2025-03-12,9,2637.09,20,631.5
O00437,C199,P053,2025-05-06,9,3908.7,5,456.02
O00438,C020,P091,2025-02-20,9,3047.85,15,728.26
O00439,C065,P083,2025-09-03,9,4189.32,0,1187.81
O00440,C108,P007,2025-11-04,6,2710.62,5,682.79
O00441,C004,P007,2025-09-28,3,1355.31,10,185.99
O00442,C164,P083,2025-12-13,2,930.96,20,223.55
O00443,C180,P085,2025-08-16,8,3648.88,15,1067.47
O00444,C095,P005,2025-10-07,2,173.46,0,45.67
O00445,C054,P055,2025-11-26,1,215.67,0,55.93
O00446,C252,P058,2025-08-18,2,403.26,5,80.5
O00447,C153,P049,2025-09-12,5,2457.95,15,428.73
O00448,C207,P022,2025-01-25,4,1896.8,20,253.92
O00449,C144,P050,2025-11-29,6,2787.12,0,375.98
O00450,C037,P024,2025-10-01,4,292.2,10,46.6
O00451,C073,P063,2025-10-31,8,2463.04,20,549.87
O00452,C208,P098,2025-08-28,8,2683.68,10,478.97
O00453,C174,P073,2025-03-14,5,493.65,15,59.5
O00454,C271,P071,2025-10-23,9,2602.71,15,424.06
O00455,C139,P001,2025-07-24,2,509.5,20,51.91
O00456,C291,P057,2025-01-04,6,1860.78,5,469.15
O00457,C226,P029,2025-04-26,6,1561.26,10,462.21
O00458,C156,P058,2025-03-03,3,604.89,20,37.52
O00459,C077,P025,2025-07-10,4,139.08,5,41.6
O00460,C108,P013,2025-09-21,2,94.08,15,23.99
O00461,C009,P070,2025-04-11,7,1617.07,10,156.1
O00462,C027,P042,2025-09-18,9,3752.91,0,766.49
O00463,C222,P017,2025-01-19,2,746.72,0,202.53
O00464,C221,P047,2025-06-22,1,198.11,10,32.13
O00465,C130,P051,2025-03-13,2,32.42,0,5.69
O00466,C224,P027,2025-04-29,5,1366.85,15,380.09
O00467,C058,P050,2025-10-05,1,464.52,15,59.12
O00468,C271,P093,2025-06-20,8,430.8,5,84.62
O00469,C097,P042,2025-11-18,6,2501.94,15,473.38
O00470,C224,P066,2025-08-09,10,790.6,10,66.18
O00471,C107,P037,2025-04-04,3,988.5,15,212.98
