2026-07-22 15:52:34,594 | INFO | Question Received: Show all companies
2026-08-01 11:05:14,364 | INFO | Database engine created successfully.
2026-08-01 11:14:54,710 | INFO | Creating database engine...
2026-08-01 11:14:56,627 | INFO | Database engine created successfully.
2026-08-02 13:48:02,920 | INFO | Creating database engine...
2026-08-02 13:48:03,243 | INFO | Database engine created successfully.
2026-08-02 15:13:20,907 | INFO | Creating database engine...
2026-08-02 15:13:20,963 | INFO | Database engine created successfully.
2026-08-02 15:18:32,758 | INFO | Creating database engine...
2026-08-02 15:18:32,821 | INFO | Database engine created successfully.
2026-08-02 15:18:54,120 | INFO | Creating database engine...
2026-08-02 15:18:54,167 | INFO | Database engine created successfully.
2026-08-02 15:20:47,213 | INFO | Creating database engine...
2026-08-02 15:20:47,254 | INFO | Database engine created successfully.
2026-08-02 15:25:06,406 | INFO | Creating database engine...
2026-08-02 15:25:06,450 | INFO | Database engine created successfully.
2026-08-02 15:25:55,845 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:31:49,211 | INFO | Creating database engine...
2026-08-02 15:31:49,260 | INFO | Database engine created successfully.
2026-08-02 15:31:50,968 | INFO | Creating database engine...
2026-08-02 15:31:51,018 | INFO | Database engine created successfully.
2026-08-02 15:32:17,761 | INFO | Creating database engine...
2026-08-02 15:32:17,806 | INFO | Database engine created successfully.
2026-08-02 15:34:26,684 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:35:46,754 | INFO | Creating database engine...
2026-08-02 15:35:46,800 | INFO | Database engine created successfully.
2026-08-02 15:36:18,333 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:38:41,176 | INFO | Creating database engine...
2026-08-02 15:38:41,220 | INFO | Database engine created successfully.
2026-08-02 15:39:23,982 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:40:53,695 | INFO | Creating database engine...
2026-08-02 15:40:53,748 | INFO | Database engine created successfully.
2026-08-02 15:40:57,072 | INFO | Creating database engine...
2026-08-02 15:40:57,127 | INFO | Database engine created successfully.
2026-08-02 15:41:00,316 | INFO | Creating database engine...
2026-08-02 15:41:00,364 | INFO | Database engine created successfully.
2026-08-02 15:41:12,122 | INFO | Creating database engine...
2026-08-02 15:41:12,182 | INFO | Database engine created successfully.
2026-08-02 15:41:15,039 | INFO | Creating database engine...
2026-08-02 15:41:15,106 | INFO | Database engine created successfully.
2026-08-02 15:41:18,520 | INFO | Creating database engine...
2026-08-02 15:41:18,586 | INFO | Database engine created successfully.
2026-08-02 15:42:23,553 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:43:08,646 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:43:45,096 | INFO | Creating database engine...
2026-08-02 15:43:45,146 | INFO | Database engine created successfully.
2026-08-02 15:44:23,059 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:45:41,829 | INFO | Creating database engine...
2026-08-02 15:45:41,889 | INFO | Database engine created successfully.
2026-08-02 15:45:43,255 | INFO | Creating database engine...
2026-08-02 15:45:43,265 | INFO | Creating database engine...
2026-08-02 15:45:43,305 | INFO | Database engine created successfully.
2026-08-02 15:45:43,314 | INFO | Database engine created successfully.
2026-08-02 15:45:48,073 | INFO | Creating database engine...
2026-08-02 15:45:48,128 | INFO | Database engine created successfully.
2026-08-02 15:46:02,445 | INFO | Creating database engine...
2026-08-02 15:46:02,493 | INFO | Database engine created successfully.
2026-08-02 15:46:39,572 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:48:54,978 | INFO | Creating database engine...
2026-08-02 15:48:55,026 | INFO | Database engine created successfully.
2026-08-02 15:49:25,907 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:52:05,906 | INFO | Creating database engine...
2026-08-02 15:52:05,952 | INFO | Database engine created successfully.
2026-08-02 15:54:08,424 | INFO | Creating database engine...
2026-08-02 15:54:08,468 | INFO | Database engine created successfully.
2026-08-02 15:54:42,778 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:58:23,929 | INFO | Creating database engine...
2026-08-02 15:58:23,981 | INFO | Database engine created successfully.
2026-08-02 15:58:24,503 | INFO | Creating database engine...
2026-08-02 15:58:24,560 | INFO | Database engine created successfully.
2026-08-02 15:58:24,707 | INFO | Creating database engine...
2026-08-02 15:58:24,708 | INFO | Creating database engine...
2026-08-02 15:58:24,755 | INFO | Database engine created successfully.
2026-08-02 15:58:24,758 | INFO | Database engine created successfully.
2026-08-02 15:58:35,869 | INFO | Creating database engine...
2026-08-02 15:58:35,923 | INFO | Database engine created successfully.
2026-08-02 15:59:12,610 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:59:15,758 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:59:18,505 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:59:25,940 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:59:27,647 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 15:59:29,704 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-08-02 21:36:06,919 | INFO | Creating database engine...
2026-08-02 21:36:06,982 | INFO | Database engine created successfully.
